要件ID,要件名,設計文書,実装ファイル,実装関数/クラス,テストファイル,画面仕様,操作仕様,機能仕様,ステータス
FR004-2,要約データ構造,requirements.md:対象ファイル,src/lib.rs:220-255,AISummaryResponse,tests/ai_summary_tests.rs,SC004:録画リスト画面,OP005:ファイル選択,FN005:AI要約取得機能,✅ 構造体定義完了
FR005,GUI操作,,,,,,,,,
FR005-1,egui/eframe UI,ARCHITECTURE.md:GUI状態遷移図,"src/gui.rs, src/main_gui.rs",ZoomDownloaderApp,tests/gui_integration.rs,SC001:メイン画面,OP001:アプリケーション起動,-,✅ 実装完了
FR005-2,設定画面,rdra_models.md:システムコンテキスト図,src/gui.rs:render_config,render_config(),tests/config_ui_tests.rs,SC002:設定画面,OP002:設定入力・保存,FN001:設定管理機能,✅ 実装完了
FR005-3,ファイル選択,requirements.md:ユーザーインターフェース,src/gui.rs:render_recordings,render_file_selection(),tests/selection_tests.rs,SC004:録画リスト画面,OP005:ファイル選択,-,✅ 実装完了
FR006,CLI操作,,,,,,,,,
FR006-1,CLI実行,requirements.md:ユーザーインターフェース,src/main.rs,main(),tests/cli_tests.rs,-,OP009:CLI実行,-,✅ 実装完了
NFR001,性能要件,,,,,,,,,
NFR001-1,レート制限対応,zoom_api_specifications.md:レート制限,src/lib.rs:364-403,"rate_limit_check(), handle_rate_limit_response()",tests/rate_limit_tests.rs,SC005:ダウンロード進捗画面,OP006:ダウンロード実行,FN004:ファイルダウンロード機能,✅ 実装完了
NFR001-2,指数バックオフリトライ,zoom_api_specifications.md:エラーハンドリング,src/lib.rs:450-483,retry_with_exponential_backoff(),tests/retry_tests.rs,SC006:エラー表示画面,OP008:エラー処理・回復,FN007:エラー処理機能,✅ 実装完了
NFR001-3,同時ダウンロード数制限,requirements.md:パフォーマンス,-,実装予定,tests/performance_tests.rs,SC005:ダウンロード進捗画面,OP006:ダウンロード実行,FN004:ファイルダウンロード機能,⏳ 実装待ち
NFR002,信頼性要件,,,,,,,,,
NFR002-1,エラーハンドリング,ARCHITECTURE.md:エラー処理戦略,src/lib.rs:9-17,ZoomVideoMoverError,tests/error_handling_tests.rs,SC006:エラー表示画面,OP008:エラー処理・回復,FN007:エラー処理機能,✅ 実装完了
NFR002-2,詳細エラー分類,zoom_api_specifications.md:エラーハンドリング,src/lib.rs:139-151,Display impl for ZoomVideoMoverError,tests/error_handling_tests.rs,SC006:エラー表示画面,OP008:エラー処理・回復,FN007:エラー処理機能,✅ 実装完了
NFR002-3,ログ出力,requirements.md:信頼性,-,実装予定,tests/logging_tests.rs,-,-,FN009:ログ出力機能,⏳ 実装待ち
NFR003,セキュリティ要件,,,,,,,,,
NFR003-1,OAuth情報保護,requirements.md:セキュリティ,src/lib.rs:115-133,Config::save_to_file(),tests/security_tests.rs,SC002:設定画面,OP002:設定入力・保存,FN001:設定管理機能,✅ 実装完了
NFR003-2,HTTPS通信強制,ARCHITECTURE.md:技術選定,"src/lib.rs:557, src/lib.rs:662",HTTPクライアント設定,tests/https_tests.rs,-,-,FN002:OAuth認証機能,✅ 実装完了
NFR004,国際化要件,,,,,,,,,
NFR004-1,Windows日本語対応,requirements.md:国際化,src/windows_console.rs,setup_console_encoding(),tests/encoding_tests.rs,-,OP001:アプリケーション起動,FN010:Windows対応機能,✅ 実装完了
NFR004-2,日本語ファイル名,ARCHITECTURE.md:データフロー,src/lib.rs:61-86,sanitize_filename(),tests/filename_tests.rs,SC005:ダウンロード進捗画面,OP006:ダウンロード実行,FN008:ファイル管理機能,✅ 実装完了
